Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,MayEdit,IsLocked,LastViewedDate,LastReferencedDate,ConnectionReceivedId,ConnectionSentId,Split_Effective_Date__c,New_Business_Split__c,Split_End_Date__c
aJR5f000000g1nNGAQ,0055f000000IBlHAAW,,Standard First Year Split,2021-11-30T07:21:45.000+0000,0055f000000IBlHAAW,2021-12-15T15:19:40.000+0000,0055f000000IBlHAAW,2021-12-15T15:19:40.000+0000,,1,,2022-02-02T17:54:52.000+0000,2022-02-02T17:54:52.000+0000,,,2021-09-01,1,2022-12-01
aJR5f000000g2RCGAY,0055f000000IBlHAAW,,Standard Split 25/75,2022-02-04T04:04:15.000+0000,0055f000000IBlHAAW,2022-02-04T04:04:15.000+0000,0055f000000IBlHAAW,2022-02-04T04:04:15.000+0000,,1,,2022-02-04T04:04:17.000+0000,2022-02-04T04:04:17.000+0000,,,2021-09-01,,2035-02-15
aJR5f000000g2RHGAY,0055f000000IBlHAAW,,Standard Split 25/75,2022-02-04T04:06:03.000+0000,0055f000000IBlHAAW,2022-02-04T04:06:03.000+0000,0055f000000IBlHAAW,2022-02-04T04:06:03.000+0000,,1,,2022-02-04T04:06:05.000+0000,2022-02-04T04:06:05.000+0000,,,2021-07-01,,2035-02-15
aJR5f000000g2RMGAY,0055f000000IBlHAAW,,Standard Split 25/75,2022-02-04T04:07:28.000+0000,0055f000000IBlHAAW,2022-02-04T04:07:28.000+0000,0055f000000IBlHAAW,2022-02-04T04:07:28.000+0000,,1,,2022-02-04T04:07:30.000+0000,2022-02-04T04:07:30.000+0000,,,2021-07-01,,2035-02-15
aJR5f000000g2R7GAI,0055f000000IBlHAAW,,Standard Split 25/75,2022-02-04T03:11:41.000+0000,0055f000000IBlHAAW,2022-02-04T03:11:41.000+0000,0055f000000IBlHAAW,2022-02-04T03:11:41.000+0000,,1,,2022-02-04T03:11:43.000+0000,2022-02-04T03:11:43.000+0000,,,2021-08-01,,2054-02-20
aJR5f000000g2R2GAI,0055f000000IBlHAAW,,Standard Split 25/75,2022-02-04T03:09:51.000+0000,0055f000000IBlHAAW,2022-02-04T03:09:51.000+0000,0055f000000IBlHAAW,2022-02-04T03:09:51.000+0000,,1,,2022-02-04T03:09:51.000+0000,2022-02-04T03:09:51.000+0000,,,2021-05-01,,2036-02-01
aJR5f000000g1nSGAQ,0055f000000IBlHAAW,,2nd Year Split,2021-11-30T20:41:42.000+0000,0055f000000IBlHAAW,2021-12-16T20:58:54.000+0000,0055f000000IBlHAAW,2021-12-16T20:58:54.000+0000,,1,,2022-01-28T19:19:24.000+0000,2022-01-28T19:19:24.000+0000,,,2022-12-02,,2023-11-30
aJR5f000000g2RgGAI,0055f000000IBlHAAW,,Standard Split 25/75,2022-02-04T19:40:56.000+0000,0055f000000IBlHAAW,2022-02-04T19:40:56.000+0000,0055f000000IBlHAAW,2022-02-04T19:40:56.000+0000,,1,,2022-02-04T19:40:58.000+0000,2022-02-04T19:40:58.000+0000,,,2021-06-01,,2036-02-15
aJR5f000000g2RRGAY,0055f000000IBlHAAW,,Standard Split 25/75,2022-02-04T19:36:04.000+0000,0055f000000IBlHAAW,2022-02-04T19:36:04.000+0000,0055f000000IBlHAAW,2022-02-04T19:36:04.000+0000,,1,,2022-02-07T20:04:19.000+0000,2022-02-07T20:04:19.000+0000,,,2021-08-01,,2038-02-15
aJR5f000000g2RbGAI,0055f000000IBlHAAW,,Standard Split 25/75,2022-02-04T19:39:35.000+0000,0055f000000IBlHAAW,2022-02-04T19:39:35.000+0000,0055f000000IBlHAAW,2022-02-04T19:39:35.000+0000,,1,,2022-02-04T19:39:39.000+0000,2022-02-04T19:39:39.000+0000,,,2021-06-01,,2055-02-15
aJR5f000000g2RcGAI,0055f000000IBlHAAW,,Standard Split 25/75,2022-02-04T19:42:45.000+0000,0055f000000IBlHAAW,2022-02-04T19:42:45.000+0000,0055f000000IBlHAAW,2022-02-04T19:42:45.000+0000,,1,,2022-02-04T19:42:54.000+0000,2022-02-04T19:42:54.000+0000,,,2021-07-01,,2040-02-15
aJR5f000000g2RWGAY,0055f000000IBlHAAW,,Standard Split 25/75,2022-02-04T19:37:38.000+0000,0055f000000IBlHAAW,2022-02-04T19:37:38.000+0000,0055f000000IBlHAAW,2022-02-04T19:37:38.000+0000,,1,,2022-02-04T19:37:39.000+0000,2022-02-04T19:37:39.000+0000,,,2021-06-01,,2054-02-15
aJR5f000000g2RlGAI,0055f000000IBlHAAW,,Standard Split 25/75,2022-02-04T20:06:48.000+0000,0055f000000IBlHAAW,2022-02-04T20:06:48.000+0000,0055f000000IBlHAAW,2022-02-04T20:06:48.000+0000,,1,,2022-02-04T20:06:50.000+0000,2022-02-04T20:06:50.000+0000,,,2021-07-01,,2037-02-16
aJR5f000000g2RmGAI,0055f000000IBlHAAW,,Standard Split 25/75,2022-02-04T20:08:04.000+0000,0055f000000IBlHAAW,2022-02-04T20:08:04.000+0000,0055f000000IBlHAAW,2022-02-04T20:08:04.000+0000,,1,,2022-02-04T20:08:22.000+0000,2022-02-04T20:08:22.000+0000,,,2021-07-01,,2037-02-16
aJR5f000000g2RqGAI,0055f000000IBlHAAW,,Standard Split 25/75,2022-02-04T20:10:55.000+0000,0055f000000IBlHAAW,2022-02-04T20:10:55.000+0000,0055f000000IBlHAAW,2022-02-04T20:10:55.000+0000,,1,,2022-02-04T20:10:57.000+0000,2022-02-04T20:10:57.000+0000,,,2021-07-01,,2037-02-16
aJR5f000000g2RrGAI,0055f000000IBlHAAW,,Standard Split 25/75,2022-02-04T20:12:50.000+0000,0055f000000IBlHAAW,2022-02-04T20:12:50.000+0000,0055f000000IBlHAAW,2022-02-04T20:12:50.000+0000,,1,,2022-02-04T20:12:52.000+0000,2022-02-04T20:12:52.000+0000,,,2021-07-01,,2040-02-15
aJR5f000000g1wHGAQ,0055f000000IBlHAAW,,New Business Split,2021-12-13T19:42:56.000+0000,0055f000000IBlHAAW,2021-12-14T21:02:16.000+0000,0055f000000IBlHAAW,2021-12-14T21:02:16.000+0000,,1,,2021-12-14T21:02:16.000+0000,2021-12-14T21:02:16.000+0000,,,2020-11-01,1,2021-10-31
aJR5f000000g1wMGAQ,0055f000000IBlHAAW,,Standard Split 50/50,2021-12-13T19:47:34.000+0000,0055f000000IBlHAAW,2021-12-16T20:58:38.000+0000,0055f000000IBlHAAW,2021-12-16T20:58:38.000+0000,,1,,2021-12-13T19:47:36.000+0000,2021-12-13T19:47:36.000+0000,,,2021-06-01,,2022-05-30
aJR5f000000g1w3GAA,0055f000000IBlHAAW,,Standard Split 50/50,2021-12-13T19:38:31.000+0000,0055f000000IBlHAAW,2021-12-16T15:00:59.000+0000,0055f000000IBlHAAW,2021-12-16T15:00:59.000+0000,,1,,2021-12-16T15:00:59.000+0000,2021-12-16T15:00:59.000+0000,,,2021-11-01,,2022-10-31
aJR5f000000g1wCGAQ,0055f000000IBlHAAW,,Standard Split 50/50,2021-12-13T19:41:43.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:08.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:08.000+0000,,1,,2021-12-14T20:58:46.000+0000,2021-12-14T20:58:46.000+0000,,,2021-11-01,,2022-10-31
aJR5f000000g1w2GAA,0055f000000IBlHAAW,,Standard Split 50/50,2021-12-13T19:33:57.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:17.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:17.000+0000,,1,,2021-12-14T21:03:41.000+0000,2021-12-14T21:03:41.000+0000,,,2021-06-01,,2022-05-30
aJR5f000000g1w7GAA,0055f000000IBlHAAW,,New Business Split,2021-12-13T19:37:14.000+0000,0055f000000IBlHAAW,2021-12-16T15:00:21.000+0000,0055f000000IBlHAAW,2021-12-16T15:00:21.000+0000,,1,,2021-12-17T16:51:04.000+0000,2021-12-17T16:51:04.000+0000,,,2020-11-01,1,2021-10-31
aJR5f000000g1wWGAQ,0055f000000IBlHAAW,,Standard Split 50/50,2021-12-13T20:32:23.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:30.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:30.000+0000,,1,,2021-12-13T20:34:25.000+0000,2021-12-13T20:34:25.000+0000,,,2021-07-01,,2022-06-30
aJR5f000000g1wRGAQ,0055f000000IBlHAAW,,Standard Split 50/50,2021-12-13T20:25:44.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:34.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:34.000+0000,,1,,2021-12-13T20:25:46.000+0000,2021-12-13T20:25:46.000+0000,,,2021-07-01,,2022-06-30
aJR5f000000g1wrGAA,0055f000000IBlHAAW,,Standard Split 50/50,2021-12-13T20:58:20.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:36.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:36.000+0000,,1,,2021-12-13T20:58:22.000+0000,2021-12-13T20:58:22.000+0000,,,2021-07-01,,2022-06-30
aJR5f000000g1wgGAA,0055f000000IBlHAAW,,Standard Split 50/50,2021-12-13T20:38:43.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:39.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:39.000+0000,,1,,2021-12-13T20:38:55.000+0000,2021-12-13T20:38:55.000+0000,,,2021-07-01,,2022-06-30
aJR5f000000g1x0GAA,0055f000000IBlHAAW,,Standard Split 50/50,2021-12-13T21:31:56.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:42.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:42.000+0000,,1,,2021-12-13T21:31:58.000+0000,2021-12-13T21:31:58.000+0000,,,2021-07-01,,2022-06-30
aJR5f000000g1wlGAA,0055f000000IBlHAAW,,Standard Split 50/50,2021-12-13T20:43:08.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:44.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:44.000+0000,,1,,2021-12-13T20:43:09.000+0000,2021-12-13T20:43:09.000+0000,,,2021-07-01,,2022-06-30
aJR5f000000g1wvGAA,0055f000000IBlHAAW,,Standard Split 50/50,2021-12-13T20:55:27.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:48.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:48.000+0000,,1,,2021-12-13T20:55:28.000+0000,2021-12-13T20:55:28.000+0000,,,2021-07-01,,2022-06-30
aJR5f000000g1wbGAA,0055f000000IBlHAAW,,Standard Split 50/50,2021-12-13T20:36:05.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:50.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:50.000+0000,,1,,2021-12-13T20:36:07.000+0000,2021-12-13T20:36:07.000+0000,,,2021-07-01,,2022-06-30
aJR5f000000g1wmGAA,0055f000000IBlHAAW,,Standard Split 50/50,2021-12-13T20:52:00.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:52.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:52.000+0000,,1,,2021-12-13T20:52:02.000+0000,2021-12-13T20:52:02.000+0000,,,2021-07-01,,2022-06-30
aJR5f000000g1wqGAA,0055f000000IBlHAAW,,Standard Split 50/50,2021-12-13T20:48:41.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:55.000+0000,0055f000000IBlHAAW,2021-12-16T20:59:55.000+0000,,1,,2021-12-13T20:48:43.000+0000,2021-12-13T20:48:43.000+0000,,,2021-07-01,,2022-06-30
aJR5f000000g25fGAA,0055f000000IBlHAAW,,*Standard 65/35,2021-12-17T16:54:27.000+0000,0055f000000IBlHAAW,2021-12-17T16:54:27.000+0000,0055f000000IBlHAAW,2021-12-17T16:54:27.000+0000,,1,,2021-12-17T16:54:29.000+0000,2021-12-17T16:54:29.000+0000,,,2021-01-01,,2100-12-31
aJR5f000000g25aGAA,0055f000000IBlHAAW,,*First Year Split BOR 60/40,2021-12-17T16:52:19.000+0000,0055f000000IBlHAAW,2021-12-17T16:55:08.000+0000,0055f000000IBlHAAW,2021-12-17T16:55:08.000+0000,,1,,2021-12-17T16:55:08.000+0000,2021-12-17T16:55:08.000+0000,,,2022-01-01,1,2100-12-31
aJR5f000000g25VGAQ,0055f000000IBlHAAW,,Standard Split 50/50,2021-12-16T00:22:00.000+0000,0055f000000IBlHAAW,2021-12-16T15:43:40.000+0000,0055f000000IBlHAAW,2021-12-16T15:43:40.000+0000,,1,,2021-12-16T15:43:40.000+0000,2021-12-16T15:43:40.000+0000,,,2021-07-01,,2022-06-30
aJR5f000000g2QiGAI,0055f000000IBlHAAW,,Standard Split 50/50,2022-01-27T16:32:25.000+0000,0055f000000IBlHAAW,2022-01-27T16:32:25.000+0000,0055f000000IBlHAAW,2022-01-27T16:32:25.000+0000,,1,,2022-01-27T16:32:27.000+0000,2022-01-27T16:32:27.000+0000,,,2019-01-01,,2032-01-01
aJR5f000000g2QnGAI,0055f000000IBlHAAW,,Standard Split 50/50,2022-01-27T16:40:02.000+0000,0055f000000IBlHAAW,2022-01-27T16:40:02.000+0000,0055f000000IBlHAAW,2022-01-27T16:40:02.000+0000,,1,,2022-01-27T16:40:03.000+0000,2022-01-27T16:40:03.000+0000,,,2021-03-01,,2040-01-01
aJR5f000000g2QoGAI,0055f000000IBlHAAW,,Standard Split 50/50,2022-01-27T16:41:42.000+0000,0055f000000IBlHAAW,2022-01-27T16:41:42.000+0000,0055f000000IBlHAAW,2022-01-27T16:41:42.000+0000,,1,,2022-01-27T16:41:44.000+0000,2022-01-27T16:41:44.000+0000,,,2019-01-17,,2037-01-21
aJR5f000000g2QxGAI,0055f000000IBlHAAW,,Standard Split 50/50,2022-01-27T17:06:05.000+0000,0055f000000IBlHAAW,2022-01-27T17:06:05.000+0000,0055f000000IBlHAAW,2022-01-27T17:06:05.000+0000,,1,,2022-01-27T17:06:08.000+0000,2022-01-27T17:06:08.000+0000,,,2011-01-01,,2032-01-08
aJR5f000000g2QsGAI,0055f000000IBlHAAW,,Standard Split 50/50,2022-01-27T16:50:16.000+0000,0055f000000IBlHAAW,2022-01-27T16:50:16.000+0000,0055f000000IBlHAAW,2022-01-27T16:50:16.000+0000,,1,,2022-01-27T16:50:19.000+0000,2022-01-27T16:50:19.000+0000,,,2021-12-01,,2034-02-03
